cod_barrio,barrio,pob_total,pct_extranjera,pct_65mas,pct_pob_2044,pct_extranjera_2044,var_extranjera_1823,var_65mas_1823,var_pob_2044_1823,var_extranjera_2044_1823
011,011. Palacio,23500,21.71,19.29,40.47,14.57,4.59,0.37,0.09,3.15
012,012. Embajadores,46204,30.65,13.75,48.0,21.66,5.39,-0.63,0.2,3.94
013,013. Cortes,10816,28.4,17.37,45.21,19.5,6.44,0.5,1.56,4.41
014,014. Justicia,18219,26.95,15.75,44.94,18.34,6.38,-0.65,1.12,4.42
015,015. Universidad,32783,26.2,16.01,47.42,18.63,5.24,-0.51,1.28,4.43
016,016. Sol,8164,34.84,15.75,47.91,24.64,9.77,-1.41,2.17,6.93
021,021. Imperial,22385,8.45,23.47,31.92,5.25,1.77,2.47,-0.56,1.04
022,022. Acacias,36069,8.2,25.76,33.24,5.21,1.66,3.69,-0.15,1.04
023,023. Chopera,19761,14.39,23.0,37.17,8.96,1.41,-0.2,1.12,1.08
024,024. Legazpi,19468,8.01,11.34,33.69,4.79,1.16,3.01,-3.7,0.53
025,025. Delicias,28575,13.03,17.71,35.87,8.0,2.09,0.9,-0.52,1.2
026,026. Palos de la Frontera,25097,15.69,21.66,38.35,10.42,1.42,1.14,-0.38,1.16
027,027. Atocha,1949,10.88,9.8,36.17,7.18,4.96,0.01,7.33,3.15
031,031. Pacífico,33027,10.72,26.45,32.52,6.86,2.39,1.93,0.11,1.61
032,032. Adelfas,18832,8.61,22.83,32.27,5.34,2.16,2.13,-1.62,1.39
033,033. Estrella,22649,4.9,31.92,26.15,2.78,1.2,1.45,-2.11,0.68
034,034. Ibiza,21492,14.37,25.3,31.68,8.39,4.47,0.4,-0.91,2.25
035,035. Los Jerónimos,6825,13.83,26.32,30.12,6.93,4.42,-0.24,0.06,2.44
036,036. Niño Jesús,15093,6.71,27.34,26.92,3.36,1.63,0.93,-1.29,0.66
041,041. Recoletos,15444,20.97,24.35,33.4,11.02,5.16,1.63,-0.5,2.54
042,042. Goya,29477,17.97,24.08,36.4,11.45,5.11,0.56,0.77,3.08
043,043. Fuente del Berro,20929,14.26,24.73,34.45,8.7,3.13,0.1,-0.32,1.53
044,044. Guindalera,41964,12.79,23.95,34.65,8.48,2.74,-0.72,0.84,1.84
045,045. Lista,20969,18.15,24.16,36.98,12.09,4.74,0.2,0.47,2.96
046,046. Castellana,16919,21.55,23.58,36.72,13.71,6.04,0.55,0.85,3.7
051,051. El Viso,17274,11.58,22.26,32.26,6.11,1.0,0.79,-0.74,0.15
052,052. Prosperidad,36027,11.71,26.13,34.04,7.54,2.03,1.47,-0.5,1.38
053,053. Ciudad Jardín,18513,13.68,23.82,34.32,8.41,2.39,0.81,-0.33,1.28
054,054. Hispanoamérica,31470,8.58,24.91,29.49,4.32,1.88,0.3,-0.81,0.85
055,055. Nueva España,24466,10.47,21.36,30.86,5.44,1.45,0.43,-1.37,0.88
056,056. Castilla,17046,11.24,22.81,34.58,6.96,2.84,0.48,1.0,1.99
061,061. Bellas Vistas,29354,25.33,18.41,40.78,15.6,3.4,-0.14,1.21,2.17
062,062. Cuatro Caminos,34753,17.06,22.59,38.12,10.68,2.94,-0.37,0.67,1.7
063,063. Castillejos,20570,16.72,23.76,38.17,9.81,2.03,-0.2,0.75,0.99
064,064. Almenara,23057,18.42,18.73,37.81,11.35,5.11,-1.52,1.49,3.07
065,065. Valdeacederas,26572,24.61,14.68,41.36,15.25,3.39,-0.09,0.28,2.0
066,066. Berruguete,25694,26.22,16.21,40.92,16.44,3.42,-0.59,1.14,2.2
071,071. Gaztambide,22959,14.29,25.41,37.26,9.6,3.75,-0.32,1.37,2.44
072,072. Arapiles,24190,13.52,24.2,38.26,9.1,2.85,0.16,1.21,2.02
073,073. Trafalgar,24621,16.85,21.53,39.83,11.36,4.41,0.35,0.68,3.29
074,074. Almagro,19418,16.01,24.57,34.29,8.85,3.2,0.61,0.24,1.6
075,075. Ríos Rosas,27163,13.18,23.5,36.65,8.38,2.55,0.12,0.14,1.59
076,076. Vallehermoso,19853,8.57,27.48,31.74,5.36,1.75,-0.52,0.74,1.18
081,081. El Pardo,3421,5.29,24.47,30.4,2.75,1.85,-1.77,-2.73,0.52
082,082. Fuentelarreina,3410,7.6,25.89,25.01,3.37,-0.07,-0.08,-1.52,-0.4
083,083. Peñagrande,44341,8.45,27.42,28.47,4.58,1.09,2.38,-2.35,0.34
084,084. Pilar,45609,13.54,28.6,31.61,7.7,2.99,-0.89,-1.0,1.52
085,085. La Paz,32192,5.5,36.16,26.18,2.74,0.7,5.42,-3.95,0.11
086,086. Valverde,64756,14.2,12.15,31.98,8.05,3.41,0.38,-4.64,1.63
087,087. Mirasierra,35676,5.19,15.85,28.39,2.48,0.36,1.43,-1.79,0.16
088,088. El Goloso,19036,6.25,8.51,27.11,3.14,1.23,0.32,-9.24,0.13
091,091. Casa de Campo,12767,9.06,25.52,30.68,4.95,1.03,0.61,-0.11,0.28
092,092. Argüelles,24497,16.16,24.44,35.66,10.65,4.34,-0.76,0.87,3.08
093,093. Ciudad Universitaria,16364,9.96,25.55,31.34,5.82,0.64,0.07,-0.49,-0.36
094,094. Valdezarza,30484,12.92,24.86,32.1,7.67,2.51,-0.13,-0.1,1.22
095,095. Valdemarín,7156,8.78,11.92,27.29,4.0,-0.69,1.3,-0.83,-0.79
096,096. El Plantío,3044,10.71,19.91,26.48,4.6,2.62,0.24,-1.31,1.36
097,097. Aravaca,27445,10.76,16.81,29.05,5.07,1.45,2.38,-0.07,0.41
101,101. Los Cármenes,17903,18.8,16.95,34.25,11.15,5.38,-0.41,2.28,3.3
102,102. Puerta del Ángel,43292,22.9,19.6,37.8,14.13,4.79,-1.35,1.79,2.91
103,103. Lucero,36749,20.4,21.6,33.49,11.96,4.85,-1.39,1.43,2.66
104,104. Aluche,66587,19.04,28.66,29.98,10.39,4.04,-1.49,-0.3,1.83
105,105. Campamento,19749,24.12,22.93,33.61,14.52,7.08,-1.08,0.39,4.23
106,106. Cuatro Vientos,6122,10.5,7.42,33.57,5.78,4.53,1.19,-8.11,2.42
107,107. Águilas,51267,14.01,27.53,28.12,7.54,3.56,-0.71,-0.7,1.88
111,111. Comillas,22721,21.38,23.07,35.95,12.64,4.63,-1.23,1.78,2.54
112,112. Opañel,33883,24.99,19.87,36.55,14.76,5.46,-1.22,1.47,2.98
113,113. San Isidro,40368,23.78,18.54,36.0,13.93,5.07,-0.94,0.86,2.84
114,114. Vista Alegre,47727,26.71,21.82,34.66,15.28,6.35,-1.53,1.01,3.56
115,115. Puerta Bonita,36798,27.62,16.86,35.81,15.94,7.26,-2.27,1.37,3.89
116,116. Buenavista,49150,16.48,13.45,30.04,9.18,4.42,-0.36,-5.21,2.49
117,117. Abrantes,31691,24.37,17.19,32.88,13.89,6.69,-1.26,-0.07,3.81
121,121. Orcasitas,23084,11.05,19.0,28.08,5.97,3.8,-0.66,-2.02,2.0
122,122. Orcasur,14390,20.0,14.38,35.18,11.2,6.61,-0.25,0.37,3.63
123,123. San Fermín,23598,21.38,14.74,32.39,11.75,3.89,0.21,-1.71,1.93
124,124. Almendrales,22834,29.61,15.13,36.66,16.09,3.42,-1.7,-0.36,1.34
125,125. Moscardó,26579,30.08,18.26,37.09,16.75,4.34,-1.18,0.89,1.82
126,126. Zofío,14381,29.02,17.47,36.1,16.35,6.75,-0.77,1.63,3.38
127,127. Pradolongo,17877,38.46,16.01,37.96,20.52,6.53,-1.5,0.39,2.63
131,131. Entrevías,35399,19.51,18.4,33.84,10.88,5.62,-1.58,1.27,2.78
132,132. San Diego,45104,34.53,12.71,40.32,19.95,8.21,-2.24,1.09,4.37
133,133. Palomeras Bajas,40477,17.4,17.82,33.14,9.71,4.77,1.43,1.45,2.35
134,134. Palomeras Sureste,43161,15.17,18.65,33.15,8.48,4.64,0.19,-0.5,2.48
135,135. Portazgo,28741,18.11,21.18,33.49,10.13,5.09,-0.85,0.26,2.74
136,136. Numancia,48720,26.16,18.27,36.89,15.24,6.8,-0.5,0.96,3.71
141,141. Pavones,8814,11.94,27.42,27.67,6.19,2.59,3.4,-1.52,0.31
142,142. Horcajo,6339,8.17,11.31,28.51,4.2,4.79,3.26,2.46,2.51
143,143. Marroquina,26120,7.65,29.15,27.01,4.03,1.92,2.52,-0.07,0.91
144,144. Media Legua,17323,11.64,28.7,29.53,6.81,3.37,1.27,0.3,1.96
145,145. Fontarrón,17333,17.78,23.56,31.88,9.84,5.33,-3.14,1.16,2.62
146,146. Vinateros,16885,14.56,27.89,29.07,8.0,4.26,-2.72,0.53,2.21
151,151. Ventas,50218,19.99,22.22,35.42,11.84,4.58,-2.0,2.52,2.44
152,152. Pueblo Nuevo,62840,20.72,21.55,34.17,12.13,5.08,-0.54,0.8,2.9
153,153. Quintana,25467,22.5,20.89,36.97,13.69,5.08,-1.7,2.43,2.99
154,154. La Concepción,20941,16.43,23.97,32.75,9.66,3.11,-0.25,1.0,1.97
155,155. San Pascual,18327,10.6,26.99,29.91,5.96,2.83,1.02,0.28,1.67
156,156. San Juan Bautista,12445,11.02,22.71,28.79,5.31,2.3,1.47,-0.94,0.97
157,157. Colina,6569,12.12,22.93,29.43,6.47,2.55,0.17,-1.5,1.05
158,158. Atalaya,1622,11.34,23.0,28.36,5.18,1.24,0.46,1.19,0.61
159,159. Costillares,21913,5.95,23.52,27.53,2.93,0.96,2.13,-0.76,0.5
161,161. Palomas,6922,10.31,16.56,25.27,3.79,1.39,2.0,-2.47,0.15
162,162. Piovera,15041,17.21,16.2,28.26,6.0,3.37,2.88,-0.99,1.12
163,163. Canillas,39786,11.14,27.75,28.52,5.93,2.65,1.6,-1.75,1.42
164,164. Pinar del Rey,52031,13.52,26.36,30.07,7.49,3.82,-0.02,-0.68,1.93
165,165. Apóstol Santiago,15435,11.64,21.78,30.26,6.21,3.81,0.83,0.35,1.87
166,166. Valdefuentes,69175,11.49,7.88,32.69,5.53,2.71,0.77,-5.61,0.92
171,"171. Villaverde Alto, Casco Histórico de Villaverde",47817,24.6,16.07,34.24,13.4,6.33,-1.34,0.57,3.33
172,172. San Cristóbal,17270,37.56,10.68,39.1,20.94,7.35,-3.06,1.75,3.52
173,173. Butarque,21316,15.59,9.09,32.78,8.28,2.26,0.51,-6.52,0.91
174,174. Los Rosales,37807,22.26,17.17,32.35,12.2,4.36,0.42,-0.02,2.01
175,175. Ángeles,34826,21.87,23.1,33.87,12.58,7.39,-4.09,3.75,4.39
181,181. Casco Histórico de Vallecas,40417,19.99,16.69,33.86,10.7,4.94,0.12,-0.92,2.48
182,182. Santa Eugenia,23876,11.46,24.79,30.12,5.55,1.61,4.37,-1.84,0.26
183,183. Ensanche de Vallecas,53208,14.31,5.46,40.02,8.34,5.71,1.41,-9.81,3.25
191,191. Casco Histórico de Vicálvaro,35518,22.42,20.04,32.72,11.84,3.57,-2.0,-0.72,1.67
192,192. Valdebernardo,17471,9.65,14.46,30.1,5.45,3.94,4.29,3.36,2.28
193,193. Valderrivas,17760,4.44,7.05,21.8,2.3,1.18,1.75,-11.07,0.37
194,194. El Cañaveral,13054,12.39,2.72,51.0,7.06,4.14,-1.09,-2.65,2.09
201,201. Simancas,28764,21.71,15.58,35.1,12.55,6.45,-0.83,0.79,3.76
202,202. Hellín,9555,19.57,20.06,33.95,11.16,9.19,-5.13,3.44,5.24
203,203. Amposta,9126,23.77,17.08,36.22,14.08,9.61,-3.28,3.57,5.45
204,204. Arcos,25354,13.52,16.83,30.89,7.6,4.82,-1.38,0.68,2.65
205,205. Rosas,30751,6.63,16.37,26.13,3.33,1.81,3.26,1.35,0.8
206,206. Rejas,17399,19.79,11.83,34.15,11.09,4.14,0.6,-5.75,1.31
207,207. Canillejas,29067,19.46,23.25,32.12,10.54,5.16,0.09,-0.47,2.49
208,208. El Salvador,11202,9.66,23.12,28.66,4.94,2.47,2.86,1.15,1.13
211,211. Alameda de Osuna,19685,7.14,26.58,24.68,3.35,1.77,1.62,-4.11,0.66
212,212. Aeropuerto,1902,23.87,14.88,34.49,12.83,4.53,-0.56,-2.41,1.12
213,213. Casco Histórico de Barajas,7384,19.83,19.93,36.48,10.81,2.55,1.39,-1.81,0.37
214,214. Timón,12049,10.76,12.28,32.74,5.32,1.47,2.17,-5.0,0.28
215,215. Corralejos,7626,7.23,10.65,24.68,3.47,0.75,0.64,-3.67,0.39
